indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age15_HYP_209,1,108,Test,15,13.3170910062868,Combined,GAM
Age15_HYP_232,2,100,Test,15,12.3857800678562,Combined,GAM
Age15_HYP_255,1,103,Test,15,11.4845276379746,Combined,GAM
Age15_HYP_35,1,103,Test,15,12.5905384055384,Combined,GAM
Age15_HYP_550,2,136,Test,15,10.5352813760795,Combined,GAM
Age15_HYP_590,2,161,Test,15,12.0654620112561,Combined,GAM
Age15_HYP_9,1,98,Test,15,10.0586333695514,Combined,GAM
Age15_HYP_98,2,146,Test,15,10.8712264130364,Combined,GAM
Age16_HIP_1743,2,126,Test,16,17.6833162046441,Combined,GAM
Age16_HIP_1810,2,175,Test,16,16.937073725915,Combined,GAM
Age16_HYP_89,2,170,Test,16,15.2105772636692,Combined,GAM
Age16_HYP_114,1,113,Test,16,17.7137479199729,Combined,GAM
Age16_HYP_205,1,94,Test,16,16.7897787681879,Combined,GAM
Age16_HYP_242,1,118,Test,16,18.7366897000952,Combined,GAM
Age16_HIP_3157,2,175,Test,16,17.375294584935,Combined,GAM
Age16_HIP_1758,1,131,Test,16,16.7915402828585,Combined,GAM
Age16_HIP_1387,2,125,Test,16,18.6953143929157,Combined,GAM
Age16_HIP_1401,1,98,Test,16,14.0424108415945,Combined,GAM
Age16_HIP_1414,2,180,Test,16,15.3313286260105,Combined,GAM
Age16_HIP_5348,2,161,Test,16,18.1935834843539,Combined,GAM
Age16_HIP_1985,2,191,Test,16,17.4527625896612,Combined,GAM
Age16_HIP_1717,1,95,Test,16,13.0920289049492,Combined,GAM
Age17_HYP_110,1,119,Test,17,17.4050381436923,Combined,GAM
Age17_HYP_156,1,114,Test,17,15.7340265167383,Combined,GAM
Age17_HYP_162,1,118,Test,17,14.9334427580081,Combined,GAM
Age17_HIP_3148,2,162,Test,17,17.5889504209317,Combined,GAM
Age17_HIP_3150,2,136,Test,17,15.2841234200402,Combined,GAM
Age17_HIP_1753,2,209,Test,17,19.295564324561,Combined,GAM
Age17_HIP_3019,2,156,Test,17,16.4629446135059,Combined,GAM
Age18_HYP_551,2,173,Test,18,18.5913040185985,Combined,GAM
Age18_HYP_560,1,120,Test,18,19.8495786147458,Combined,GAM
Age18_HYP_589,1,123,Test,18,17.5456940899134,Combined,GAM
Age18_HYP_772,1,120,Test,18,18.0303024451219,Combined,GAM
Age18_HIP_6325,1,82,Test,18,16.3620308331376,Combined,GAM
Age18_HIP_1724,2,125,Test,18,17.2236571343845,Combined,GAM
Age18_HIP_3051,2,169,Test,18,16.5412721404504,Combined,GAM
Age18_HIP_3058,1,127,Test,18,19.4165693095373,Combined,GAM
Age18_HIP_5336,2,194,Test,18,15.9863223391237,Combined,GAM
