indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age18_HYP_551,2,173,Test,18,18.3819306783302,Combined,GAM,0.915220350276561,16.5880987917881,20.1757625648722,Wild,2.89037175789616,5.15329159449778
Age18_HYP_560,1,120,Test,18,16.7445029765542,Combined,GAM,0.767019773780376,15.2411442199446,18.2478617331637,Wild,2.89037175789616,4.78749174278205
Age18_HYP_589,1,123,Test,18,17.2613995530479,Combined,GAM,0.790552728947808,15.7119162043102,18.8108829017856,Wild,2.89037175789616,4.81218435537242
Age18_HYP_772,1,120,Test,18,18.1909279271557,Combined,GAM,0.763987831134131,16.6935117781328,19.6883440761786,Wild,2.89037175789616,4.78749174278205
Age18_HIP_6325,1,82,Test,18,14.9868139824509,Combined,GAM,1.06140845916876,12.9064534024802,17.0671745624217,Wild,2.89037175789616,4.40671924726425
Age18_HIP_1724,2,125,Test,18,15.4167183226643,Combined,GAM,0.966060843403783,13.5232390695929,17.3101975757358,Wild,2.89037175789616,4.8283137373023
Age18_HIP_3051,2,169,Test,18,13.8264759408864,Combined,GAM,0.654854112872554,12.5429618796562,15.1099900021166,Wild,2.89037175789616,5.12989871492307
Age18_HIP_3058,1,127,Test,18,15.9860703145872,Combined,GAM,0.672838830171487,14.6673062074511,17.3048344217233,Wild,2.89037175789616,4.84418708645859
Age18_HIP_5336,2,194,Test,18,17.4570205870081,Combined,GAM,0.945281091688733,15.6042696472981,19.309771526718,Wild,2.89037175789616,5.26785815906333
Age19_HIP_1300,1,132,Test,19,20.7319248403761,Combined,GAM,1.05495519886441,18.6642126506018,22.7996370301503,Wild,2.94443897916644,4.88280192258637
